URL,Extension,Dataset,Date Tested
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128585.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128619.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128603.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648736.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648639.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648743.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648516.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648536.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648759.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648749.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648784.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648616.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01648728.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683572.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683377.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683446.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683521.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683493.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683476.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683494.mp4,mp4,DataSet 10,2026-03-17 06:40:45
